Start | You are a parnormal invegtigator who's been asked to take a look into York Pennsylvania. The Hauntings have gotten so normal that there are sitings all day long in many locations. These siting are both peaceful and violent. Stories of ghost lashing out and attacking people all over. Please help the town they need you! After doing some research you find out some information. It started when a demonic presence showed up in the town square with a red orb that released a dark shadow over the town. Witnesses say he yelled " I placed a deadly curse on your town FIGHT ME and get your town back"| You arrive back where your adventure started. | true | false | none 
Josh's House | Your arrive at Josh's house. You are greeted by Leia and her loud barks. You see lego bricks eveywhere. You see a faint red light glowing in the room.... what could that be? | Josh's house entrance | false | true | rusty key	
York college campus | You arrive at the York College Campus. Screaming is heard in the distance. You start to explore the campus, surely there's good food somewhere.... | Back at York College Campus	| false | false | none
Yorktowne Hotel | Towering hotel in downtown York. You walk in and see a large container of salt by the door, prepation for the snow. That might be useful. Other than that its not very interesting here, collect your thoughts and head to the other side of town. | Back at the Yortowne Hotel Lobby. | false | false | none
Seven Gates of Hell | The horrors that can be found if you follow Toad Rd. It is said that those who make it through the seven gates never make it back... wonder if that's true. Near the last gate is rumored to be the key to solving this crazy ghost issue around York. Can you save the town? You look around and see the first rusty gate hanging loosely from its hinges, is there something peeking through the weeds around it? You also see a small tunnel leading...somewhere...? | You stand in front of gate number one. | false | false | none
Rehmeyers Hollow | A winding road leads you into the forest. It feels as if the woods are changing around you, its disorienting. Are they leading you somewhere? You see through some bushes there seems to be something laying on the ground. Past that there's loads of overgrown vines tangled all around what looks to be a old path... is there a cabin up there? | You stand at the mouth of the forest in the hollow. | false | false | none
Elmwood Mansion | In front of you stands a large pristine but eery mansion. You look around the front door is locked. On the outside you see a woman standing on the second floor balcony. Looking around it seems as if theres some pretty sturdy vines on the wall beside it | You stand on the stairs of the Elmwood Mansion. | false | false | none 
Acomac Inn | You hear the roaring  Susquehanna behind you as you stare at the brick exterior Theres something glistening on the steps. Looks like a key....? Let's stop inside while you are here. | Staring at the Acomac, on its porch. | false | false | none
Roosevelt Tavern | A fancy lounge and bar. The smell of crab soup lingers in the air. Looks like theres two dining rooms open. The staff probably won't mind you exploring. There's a pale lady waving you in kindly towards the tavern room. She seems to be pointing to the counter. | Back at the Roosevelt Tavern. | false | false | none
The tavern room| A large dining room with bright red seats and ghost white table cloths. The lady dissapeared. theres a water bottle sitting on the bar where she was pointing. You ask the bartender "where did she go"  and she replies "That must have been Cassandra, she tends to lure in travelers and leave them supplies for their trip. She did that to soldiers back in her day. You must be quite special to see her so quickly after your arrival"| In the tavern room | false | false | none 
Elmwood Gate House | the Mansion stands in front of you, youre in a old white gate house. The floor boards seem loose, it seems like there's a glimmer under one of them. That could be worth looking into. | the Elmwood gate house | false | false | none 
Elmwood Second Floor Balcony | The bright red floors and white rails surrounds you as you look at the property Theres a black box on the ground.. wonder what that is. The lady seems to have disappeared, her lantern is on the ground though. Theres a open window that seems to lead into a large room, is she in there...? | Second floor balcony | false | false | none 
Acomac Covered Porch | sitting in a rocking chair, staring through the mesh at the Susquehanna river. You relax for a minute while jot down some of the encounters you saw today. An elderly lady walks up and asks "Are you here to help us? The ghosts have been violent at my house, I have been sleeping here. PLease say you'll help" You let her know you will do your best. As she walks away she lays a rosary on the table and says "This might help you" .  | Acomac covered porch | false | false | none  
Roosevelt Colonial Room | a room with dining tables everywhere. It smells of crab soup. The waitress walks over and lays a giant warm bowl of some at the table by you.  | The colonial room | false | false | none 
Acomac Bar | a quaint little bar, with dark oak covering every surface. Are you parched? They surely have sommething here to help. | the Acomac Bar | false | false | none 
Elmwood Meeting Hall | Theres a large wooden table and leather chairs, a golden mirror covers one wall. Is there someone in the corner..? | Elmwood Meeting Hall | false | false | none 
YorkTowne Hotel Sub Basement | partially caved in basement, the sections you can see lead to tunnels? | The sub basement | false | false | none 
Rehmeyers Cabin | scorched looking wood and an eery feeling lingers. The rumors surrounding this place tell of the Hex Murders. Witches and devil worshippers, sacrifices and blood spells. | the cabin | false | false | none
KEC 119 | You are in the engineering building of York College, in room 119. You feel the sad souls of engineers past. You walk into the classroom and see Professor Hake, he is yelling at the capstone team for not going bowling with him. He throws rubber ducks into the air and stomps out. | KEC 119 | false | false | none
Johnson Dining Hall | You enter the main campus dining hall, smells like taco tuesday! | in the dining hall | false | false | none
Gate 2 | You walk through the next gate, you hear whispers and the air gets extremely cold. What are they saying? Its driving you mad. "you will diie here", "RUN", "crazy I was crazy once..." You see the next gate as you keep walking through this stretch of the woods. | gate 2 | false | false | none
Gate 3 | This is gate 3, there's a heavy fog that rolls in, its almost impossible to see more than a foot in front of you. All of a sudden you hear a scream and see something hurdling towards your head. The ghosts seem to be throwing objects at you! Go to the next gate!| gate 3 DUCK!! | | false | false | none
Gate 4 | This gate seems more calm. Looks like theres something laying in the grass. You start to feel a bit dizzy, youre sort of sluggish and not able to walk straight, is it getting darker..? How late is it? Where are you again? You see a crawl space, a tunnel..? Looks like the next gate is ahead of that.| Gate 4... you think??| false | false | none
Gate 5 | You enter the next gate and catch your breathe, You remember what you are here for, to find the source of York's ghost issue. You looks up and four spirits in front of you, their skin is peeling off, they are screaming in agony. You jump back remebering the story surrounding the gates. These must be the asylum patients, the building had burned to the ground leaving those trapped in the building to die an awful death in these very woods. Those that escaped tortured the people brave enough to come looking for them in the woods. | gate 5 | false | false | none
Gate 6 | You made it past the patients and entered the 6th gate, Shocked you made it this far. You start to hear screaming, laughing, and crying. It overwhelms you, your ears start ringing, your heart starts racing. Screaming patients, laughing escapees and crying towns people. They surround you and cover your view. As you walk through this area you see a red glowing orb on the ground... what could it be? | Gate 6 | false | false | none
Gate 7 | You enter the last gate, You encounter the NULL, his eyes glowing red and his demonic appearance startle you. The NULL laughs in your face! " Have you come to fight me? If so it will be your last, you will join my army of ghosts for forever!!" Do you think you are ready, can you save the town? | Gate 7 | false | false | none
